month,variable,value
2012-05-15,A84998727A,1443.5
2012-11-15,A84998727A,1491.8
2013-05-15,A84998727A,1516.4
2013-11-15,A84998727A,1532.1
2014-05-15,A84998727A,1560.5
2014-11-15,A84998727A,1587.5
2015-05-15,A84998727A,1591.6
2015-11-15,A84998727A,1603.6
2016-05-15,A84998727A,1613.5
2016-11-15,A84998727A,1631.9
2017-05-15,A84998727A,1637.2
2017-11-15,A84998727A,1665.0
2018-05-15,A84998727A,1677.1
2018-11-15,A84998727A,1696.5
2019-05-15,A84998727A,1727.7
2019-11-15,A84998727A,1750.8
2020-05-15,A84998727A,1812.0
2020-11-15,A84998727A,1804.2
2021-05-15,A84998727A,1837.0
2021-11-15,A84998727A,1846.5
2022-05-15,A84998727A,1872.9
2022-11-15,A84998727A,1907.1
2012-05-15,A84998730R,1537.1
2012-11-15,A84998730R,1578.4
2013-05-15,A84998730R,1605.4
2013-11-15,A84998730R,1619.7
2014-05-15,A84998730R,1650.4
2014-11-15,A84998730R,1679.5
2015-05-15,A84998730R,1676.8
2015-11-15,A84998730R,1687.2
2016-05-15,A84998730R,1696.2
2016-11-15,A84998730R,1718.7
2017-05-15,A84998730R,1727.3
2017-11-15,A84998730R,1752.5
2018-05-15,A84998730R,1771.0
2018-11-15,A84998730R,1783.7
2019-05-15,A84998730R,1812.9
2019-11-15,A84998730R,1841.6
2020-05-15,A84998730R,1890.5
2020-11-15,A84998730R,1885.7
2021-05-15,A84998730R,1920.0
2021-11-15,A84998730R,1935.5
2022-05-15,A84998730R,1962.4
2022-11-15,A84998730R,2004.9
2012-05-15,A84998733W,1285.1
2012-11-15,A84998733W,1324.3
2013-05-15,A84998733W,1356.7
2013-11-15,A84998733W,1347.9
2014-05-15,A84998733W,1364.6
2014-11-15,A84998733W,1371.5
2015-05-15,A84998733W,1369.5
2015-11-15,A84998733W,1374.8
2016-05-15,A84998733W,1395.1
2016-11-15,A84998733W,1397.9
2017-05-15,A84998733W,1417.2
2017-11-15,A84998733W,1427.8
2018-05-15,A84998733W,1445.3
2018-11-15,A84998733W,1460.5
2019-05-15,A84998733W,1475.6
2019-11-15,A84998733W,1498.2
2020-05-15,A84998733W,1537.7
2020-11-15,A84998733W,1526.6
2021-05-15,A84998733W,1555.3
2021-11-15,A84998733W,1577.1
2022-05-15,A84998733W,1587.0
2022-11-15,A84998733W,1621.2
2012-05-15,A84998728C,1191.6
2012-11-15,A84998728C,1227.7
2013-05-15,A84998728C,1252.7
2013-11-15,A84998728C,1268.0
2014-05-15,A84998728C,1276.7
2014-11-15,A84998728C,1290.2
2015-05-15,A84998728C,1309.8
2015-11-15,A84998728C,1327.6
2016-05-15,A84998728C,1352.1
2016-11-15,A84998728C,1370.3
2017-05-15,A84998728C,1386.6
2017-11-15,A84998728C,1410.8
2018-05-15,A84998728C,1433.4
2018-11-15,A84998728C,1456.5
2019-05-15,A84998728C,1485.5
2019-11-15,A84998728C,1508.3
2020-05-15,A84998728C,1558.4
2020-11-15,A84998728C,1562.0
2021-05-15,A84998728C,1575.5
2021-11-15,A84998728C,1591.2
2022-05-15,A84998728C,1609.0
2022-11-15,A84998728C,1653.6
2012-05-15,A84998731T,1209.1
2012-11-15,A84998731T,1244.1
2013-05-15,A84998731T,1269.3
2013-11-15,A84998731T,1285.4
2014-05-15,A84998731T,1293.8
2014-11-15,A84998731T,1309.5
2015-05-15,A84998731T,1327.0
2015-11-15,A84998731T,1344.6
2016-05-15,A84998731T,1370.7
2016-11-15,A84998731T,1388.9
2017-05-15,A84998731T,1406.3
2017-11-15,A84998731T,1429.3
2018-05-15,A84998731T,1453.8
2018-11-15,A84998731T,1477.2
2019-05-15,A84998731T,1507.9
2019-11-15,A84998731T,1528.2
2020-05-15,A84998731T,1578.2
2020-11-15,A84998731T,1581.2
2021-05-15,A84998731T,1599.9
2021-11-15,A84998731T,1614.9
2022-05-15,A84998731T,1639.5
2022-11-15,A84998731T,1680.6
2012-05-15,A84998734X,822.5
2012-11-15,A84998734X,839.3
