month,variable,value
1994-08-15,A2772121L,659.1
1994-11-15,A2772121L,668.9
1995-02-15,A2772121L,680.1
1995-05-15,A2772121L,689.8
1995-08-15,A2772121L,695.4
1995-11-15,A2772121L,705.0
1996-02-15,A2772121L,708.9
1996-05-15,A2772121L,718.1
1996-08-15,A2772121L,721.1
1996-11-15,A2772121L,727.7
1997-02-15,A2772121L,737.6
1997-05-15,A2772121L,741.4
1997-08-15,A2772121L,753.6
1997-11-15,A2772121L,757.0
1998-02-15,A2772121L,768.6
1998-05-15,A2772121L,773.0
1998-08-15,A2772121L,782.8
1998-11-15,A2772121L,786.6
1999-02-15,A2772121L,786.5
1999-05-15,A2772121L,796.8
1999-08-15,A2772121L,792.9
1999-11-15,A2772121L,807.7
2000-02-15,A2772121L,820.8
2000-05-15,A2772121L,830.1
2000-08-15,A2772121L,842.8
2000-11-15,A2772121L,845.6
2001-02-15,A2772121L,852.6
2001-05-15,A2772121L,868.6
2001-08-15,A2772121L,880.9
2001-11-15,A2772121L,891.5
2002-02-15,A2772121L,902.8
2002-05-15,A2772121L,911.6
2002-08-15,A2772121L,919.7
2002-11-15,A2772121L,934.3
2003-02-15,A2772121L,945.2
2003-05-15,A2772121L,969.3
2003-08-15,A2772121L,970.6
2003-11-15,A2772121L,984.0
2004-02-15,A2772121L,990.0
2004-05-15,A2772121L,994.4
2004-08-15,A2772121L,1002.9
2004-11-15,A2772121L,1020.1
2005-02-15,A2772121L,1034.1
2005-05-15,A2772121L,1051.0
2005-08-15,A2772121L,1065.5
2005-11-15,A2772121L,1068.5
2006-02-15,A2772121L,1082.9
2006-05-15,A2772121L,1085.2
2006-08-15,A2772121L,1098.1
2006-11-15,A2772121L,1109.8
2007-02-15,A2772121L,1119.3
2007-05-15,A2772121L,1144.0
2007-08-15,A2772121L,1156.6
2007-11-15,A2772121L,1163.3
2008-02-15,A2772121L,1177.4
2008-05-15,A2772121L,1190.1
2008-08-15,A2772121L,1214.9
2008-11-15,A2772121L,1233.1
2009-02-15,A2772121L,1250.3
2009-05-15,A2772121L,1269.6
2009-08-15,A2772121L,1285.7
2009-11-15,A2772121L,1312.0
2010-02-15,A2772121L,1330.4
2010-05-15,A2772121L,1336.3
2010-08-15,A2772121L,1341.5
2010-11-15,A2772121L,1362.3
2011-02-15,A2772121L,1379.5
2011-05-15,A2772121L,1399.6
2011-08-15,A2772121L,1417.7
2011-11-15,A2772121L,1421.0
2012-02-15,A2772121L,1439.4
2012-05-15,A2772121L,1445.4
1994-08-15,A2772124V,716.6
1994-11-15,A2772124V,725.1
1995-02-15,A2772124V,737.4
1995-05-15,A2772124V,745.0
1995-08-15,A2772124V,750.9
