month,variable,value
2011-01-04,FIRMMCRTD,4.75
2011-01-05,FIRMMCRTD,4.75
2011-01-06,FIRMMCRTD,4.75
2011-01-07,FIRMMCRTD,4.75
2011-01-10,FIRMMCRTD,4.75
2011-01-11,FIRMMCRTD,4.75
2011-01-12,FIRMMCRTD,4.75
2011-01-13,FIRMMCRTD,4.75
2011-01-14,FIRMMCRTD,4.75
2011-01-17,FIRMMCRTD,4.75
2011-01-18,FIRMMCRTD,4.75
2011-01-19,FIRMMCRTD,4.75
2011-01-20,FIRMMCRTD,4.75
2011-01-21,FIRMMCRTD,4.75
2011-01-24,FIRMMCRTD,4.75
2011-01-25,FIRMMCRTD,4.75
2011-01-27,FIRMMCRTD,4.75
2011-01-28,FIRMMCRTD,4.75
2011-01-31,FIRMMCRTD,4.75
2011-02-01,FIRMMCRTD,4.75
2011-02-02,FIRMMCRTD,4.75
2011-02-03,FIRMMCRTD,4.75
2011-02-04,FIRMMCRTD,4.75
2011-02-07,FIRMMCRTD,4.75
2011-02-08,FIRMMCRTD,4.75
2011-02-09,FIRMMCRTD,4.75
2011-02-10,FIRMMCRTD,4.75
2011-02-11,FIRMMCRTD,4.75
2011-02-14,FIRMMCRTD,4.75
2011-02-15,FIRMMCRTD,4.75
2011-02-16,FIRMMCRTD,4.75
2011-02-17,FIRMMCRTD,4.75
2011-02-18,FIRMMCRTD,4.75
2011-02-21,FIRMMCRTD,4.75
2011-02-22,FIRMMCRTD,4.75
2011-02-23,FIRMMCRTD,4.75
2011-02-24,FIRMMCRTD,4.75
2011-02-25,FIRMMCRTD,4.75
2011-02-28,FIRMMCRTD,4.75
2011-03-01,FIRMMCRTD,4.75
2011-03-02,FIRMMCRTD,4.75
2011-03-03,FIRMMCRTD,4.75
2011-03-04,FIRMMCRTD,4.75
2011-03-07,FIRMMCRTD,4.75
2011-03-08,FIRMMCRTD,4.75
2011-03-09,FIRMMCRTD,4.75
2011-03-10,FIRMMCRTD,4.75
2011-03-11,FIRMMCRTD,4.75
2011-03-14,FIRMMCRTD,4.75
2011-03-15,FIRMMCRTD,4.75
2011-03-16,FIRMMCRTD,4.75
