series_id,content,frequency,unit,series_type
A2325806K,Index Numbers ;  All groups CPI ;  Sydney ;,Quarter,Index Numbers,Original
A2325811C,Index Numbers ;  All groups CPI ;  Melbourne ;,Quarter,Index Numbers,Original
A2325816R,Index Numbers ;  All groups CPI ;  Brisbane ;,Quarter,Index Numbers,Original
A2325821J,Index Numbers ;  All groups CPI ;  Adelaide ;,Quarter,Index Numbers,Original
A2325826V,Index Numbers ;  All groups CPI ;  Perth ;,Quarter,Index Numbers,Original
A2325831L,Index Numbers ;  All groups CPI ;  Hobart ;,Quarter,Index Numbers,Original
A2325836X,Index Numbers ;  All groups CPI ;  Darwin ;,Quarter,Index Numbers,Original
A2325841T,Index Numbers ;  All groups CPI ;  Canberra ;,Quarter,Index Numbers,Original
A2325846C,Index Numbers ;  All groups CPI ;  Australia ;,Quarter,Index Numbers,Original
A2325807L,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Sydney ;,Quarter,Percent,Original
A2325812F,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Melbourne ;,Quarter,Percent,Original
A2325817T,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Brisbane ;,Quarter,Percent,Original
A2325822K,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Adelaide ;,Quarter,Percent,Original
A2325827W,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Perth ;,Quarter,Percent,Original
A2325832R,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Hobart ;,Quarter,Percent,Original
A2325837A,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Darwin ;,Quarter,Percent,Original
A2325842V,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Canberra ;,Quarter,Percent,Original
A2325847F,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Australia ;,Quarter,Percent,Original
A2325810A,Percentage Change from Previous Period ;  All groups CPI ;  Sydney ;,Quarter,Percent,Original
A2325815L,Percentage Change from Previous Period ;  All groups CPI ;  Melbourne ;,Quarter,Percent,Original
A2325820F,Percentage Change from Previous Period ;  All groups CPI ;  Brisbane ;,Quarter,Percent,Original
A2325825T,Percentage Change from Previous Period ;  All groups CPI ;  Adelaide ;,Quarter,Percent,Original
A2325830K,Percentage Change from Previous Period ;  All groups CPI ;  Perth ;,Quarter,Percent,Original
A2325835W,Percentage Change from Previous Period ;  All groups CPI ;  Hobart ;,Quarter,Percent,Original
A2325840R,Percentage Change from Previous Period ;  All groups CPI ;  Darwin ;,Quarter,Percent,Original
A2325845A,Percentage Change from Previous Period ;  All groups CPI ;  Canberra ;,Quarter,Percent,Original
A2325850V,Percentage Change from Previous Period ;  All groups CPI ;  Australia ;,Quarter,Percent,Original
