series_id,content,frequency,unit,series_type
FIRMMCRT,Cash Rate Target; monthly average,Monthly,Per cent,Original
FIRMMCRI,Interbank Overnight Cash Rate; monthly average,Monthly,Per cent,Original
FIRMMCRIHM,Highest Interbank Overnight Cash Rate; monthly average,Monthly,Per cent,Original
FIRMMCRILM,Lowest Interbank Overnight Cash Rate; monthly average,Monthly,Per cent,Original
FIRMMCRIVM,Volume of Interbank Overnight Cash Market Transactions; monthly sum,Monthly,$m,Original
FIRMMCRINM,Number of Interbank Overnight Cash Market Transactions; monthly sum,Monthly,Number ,Original
FIRMMBAB30,Bank Accepted Bills/Negotiable Certificates of Deposit-1 month; monthly average,Monthly,Per cent,Original
FIRMMBAB90,Bank Accepted Bills/Negotiable Certificates of Deposit-3 months; monthly average,Monthly,Per cent,Original
FIRMMBAB180,Bank Accepted Bills/Negotiable Certificates of Deposit- 6 months; monthly average,Monthly,Per cent,Original
FIRMMOIS1,Overnight Indexed Swaps-1 month; monthly average,Monthly,Per cent,Original
FIRMMOIS3,Overnight Indexed Swaps-3 months; monthly average,Monthly,Per cent,Original
FIRMMOIS6,Overnight Indexed Swaps-6 months; monthly average,Monthly,Per cent,Original
FIRMMTN1,Treasury Notes-1 month; monthly average,See notes,Per cent,Original
FIRMMTN3,Treasury Notes-3 months; monthly average,See notes,Per cent,Original
FIRMMTN6,Treasury Notes-6 months; monthly average,See notes,Per cent,Original
