agency,name,address,release_date,type,file
abs,"Residential Property Price Indexes: Eight Capital Cities, December 2021",/statistics/economy/price-indexes-and-inflation/residential-property-price-indexes-eight-capital-cities/dec-2021,1/12/2021,latest,641606.xlsx
abs,"Average Weekly Earnings, Australia, May 2024",/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/aug-2024,2024-08-15T01:30:00Z,future_release,6302002.xlsx
abs,"Average Weekly Earnings, Australia, November 2024",/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/feb-2025,2025-02-20T00:30:00Z,future_release,6302002.xlsx
abs,"Average Weekly Earnings, Australia, November 2023",/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/nov-2023,1/11/2023,latest,6302002.xlsx
abs,"Lending indicators, February 2024",/statistics/economy/finance/lending-indicators/apr-2024,2024-04-08T01:30:00Z,future_release,560103.xlsx
abs,"Lending indicators, March 2024",/statistics/economy/finance/lending-indicators/may-2024,2024-05-03T01:30:00Z,future_release,560103.xlsx
abs,"Lending indicators, April 2024",/statistics/economy/finance/lending-indicators/jun-2024,2024-06-06T01:30:00Z,future_release,560103.xlsx
abs,"Lending indicators, May 2024",/statistics/economy/finance/lending-indicators/jul-2024,2024-07-08T01:30:00Z,future_release,560103.xlsx
abs,"Lending indicators, June 2024",/statistics/economy/finance/lending-indicators/aug-2024,2024-08-02T01:30:00Z,future_release,560103.xlsx
abs,"Lending indicators, July 2024",/statistics/economy/finance/lending-indicators/sep-2024,2024-09-06T01:30:00Z,future_release,560103.xlsx
abs,"Lending indicators, January 2024",/statistics/economy/finance/lending-indicators/jan-2024,1/01/2024,latest,560103.xlsx
abs,"Consumer Price Index, Australia, March Quarter 2024",/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/apr-2024,2024-04-24T01:30:00Z,future_release,640101.xlsx
abs,"Consumer Price Index, Australia, June Quarter 2024",/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/jul-2024,2024-07-31T01:30:00Z,future_release,640101.xlsx
abs,"Consumer Price Index, Australia, September Quarter 2024",/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/oct-2024,2024-10-30T00:30:00Z,future_release,640101.xlsx
abs,"Consumer Price Index, Australia, December Quarter 2024",/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/jan-2025,2025-01-29T00:30:00Z,future_release,640101.xlsx
abs,"Consumer Price Index, Australia, March Quarter 2025",/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/apr-2025,2025-04-30T01:30:00Z,future_release,640101.xlsx
abs,"Consumer Price Index, Australia, December Quarter 2023",/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/dec-quarter-2023,,latest,640101.xlsx
abs,"Labour Force, Australia, March 2024",/statistics/labour/employment-and-unemployment/labour-force-australia/apr-2024,2024-04-18T01:30:00Z,future_release,6202001.xlsx
abs,"Labour Force, Australia, April 2024",/statistics/labour/employment-and-unemployment/labour-force-australia/may-2024,2024-05-16T01:30:00Z,future_release,6202001.xlsx
abs,"Labour Force, Australia, May 2024",/statistics/labour/employment-and-unemployment/labour-force-australia/jun-2024,2024-06-13T01:30:00Z,future_release,6202001.xlsx
abs,"Labour Force, Australia, June 2024",/statistics/labour/employment-and-unemployment/labour-force-australia/jul-2024,2024-07-18T01:30:00Z,future_release,6202001.xlsx
abs,"Labour Force, Australia, July 2024",/statistics/labour/employment-and-unemployment/labour-force-australia/aug-2024,2024-08-15T01:30:00Z,future_release,6202001.xlsx
abs,"Labour Force, Australia, August 2024",/statistics/labour/employment-and-unemployment/labour-force-australia/sep-2024,2024-09-19T01:30:00Z,future_release,6202001.xlsx
abs,"Labour Force, Australia, February 2024",/statistics/labour/employment-and-unemployment/labour-force-australia/feb-2024,1/02/2024,latest,6202001.xlsx
rba,cash_rate,/statistics/tables/xls,6/04/2024,latest,f01hist.xlsx
rba,variable_home_loan,/statistics/tables/xls,6/04/2024,latest,f05hist.xlsx
